"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getaccesslogsforpatient.result.queueTime","getaccesslogsforpatient.result.queueTime","","","",0,1,"","","","integer {[]} {[]}
","Uppskattad väntetid i sekunder","Uppskattad väntetid i sekunder","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.result.queueTime",0,1,"",""
"getaccesslogsforpatient.accessLogs","getaccesslogsforpatient.accessLogs","","","",0,1,"","","","BackboneElement {[]} {[]}
","Samling av åtkomstloggar","Samling av åtkomstloggar","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getaccesslogsforpatient.accessLogs.id","getaccesslogsforpatient.accessLogs.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getaccesslogsforpatient.accessLogs.extension","getaccesslogsforpatient.accessLogs.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getaccesslogsforpatient.accessLogs.modifierExtension","getaccesslogsforpatient.accessLogs.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getaccesslogsforpatient.accessLogs.accessLog","getaccesslogsforpatient.accessLogs.accessLog","","","",0,*,"","","","BackboneElement {[]} {[]}
","En åtkomstlogg","Representerar en enskild åtkomst — vem som haft åtkomst, när, varför och till vilken resurs.
Datatyp: log.querying:AccessLogType.","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getaccesslogsforpatient.accessLogs.accessLog.id","getaccesslogsforpatient.accessLogs.accessLog.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.extension","getaccesslogsforpatient.accessLogs.accessLog.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getaccesslogsforpatient.accessLogs.accessLog.modifierExtension","getaccesslogsforpatient.accessLogs.accessLog.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getaccesslogsforpatient.accessLogs.accessLog.careProviderId","getaccesslogsforpatient.accessLogs.accessLog.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för vårdgivaren vars medarbetare haft åtkomst","HSA-id för vårdgivaren vars medarbetare haft åtkomst","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.careProviderId",1,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.careProviderName","getaccesslogsforpatient.accessLogs.accessLog.careProviderName","","","",0,1,"","","","string {[]} {[]}
","Vårdgivarens namn","Vårdgivarens namn","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.careProviderName",0,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.careUnitId","getaccesslogsforpatient.accessLogs.accessLog.careUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för vårdenhet","HSA-id för vårdenhet","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.careUnitId",1,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.careUnitName","getaccesslogsforpatient.accessLogs.accessLog.careUnitName","","","",0,1,"","","","string {[]} {[]}
","Vårdenhetens namn","Vårdenhetens namn","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.careUnitName",0,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.userId","getaccesslogsforpatient.accessLogs.accessLog.userId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren som haft åtkomst","HSA-id för medarbetaren som haft åtkomst","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.userId",1,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.userName","getaccesslogsforpatient.accessLogs.accessLog.userName","","","",0,1,"","","","string {[]} {[]}
","Medarbetarens namn","Medarbetarens namn","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.userName",0,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.userTitle","getaccesslogsforpatient.accessLogs.accessLog.userTitle","","","",0,1,"","","","string {[]} {[]}
","Medarbetarens yrkestitel","Medarbetarens yrkestitel","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.userTitle",0,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.accessDate","getaccesslogsforpatient.accessLogs.accessLog.accessDate","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt för åtkomst","Tidpunkt för åtkomst","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.accessDate",1,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.purpose","getaccesslogsforpatient.accessLogs.accessLog.purpose","","","",1,1,"","","","string {[]} {[]}
","Syfte med åtkomsten","Syfte med åtkomsten","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.purpose",1,1,"",""
"getaccesslogsforpatient.accessLogs.accessLog.resourceType","getaccesslogsforpatient.accessLogs.accessLog.resourceType","","","",1,1,"","","","string {[]} {[]}
","Typ av resurs som åtkomsten avsåg","Typ av resurs som åtkomsten avsåg","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient.accessLogs.accessLog.resourceType",1,1,"",""
