"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","","","",0,*,"","","","null {[]} {[]}
","AterkallaSamtyckeVardsystem — Request","Logisk modell för begäran i AterkallaSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:AterkallaSamtyckeVardsystemResponder:1, AterkallaSamtyckeVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.befattningskod","registrerasamtyckevardsystem-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.befattningskod",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.arbetsplatskod","registrerasamtyckevardsystem-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.arbetsplatskod",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn","registrerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.postort","registrerasamtyckevardsystem-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.postort",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.postadress","registrerasamtyckevardsystem-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.postadress",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.postnummer","registrerasamtyckevardsystem-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.postnummer",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.telefonnummer","registrerasamtyckevardsystem-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.telefonnummer",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.requestId","registrerasamtyckevardsystem-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.requestId",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.rollnamn","registrerasamtyckevardsystem-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.rollnamn",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.hsaID","registrerasamtyckevardsystem-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.hsaID",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.katalog","registrerasamtyckevardsystem-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.katalog",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.organisationsnummer","registrerasamtyckevardsystem-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.organisationsnummer",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.systemnamn","registrerasamtyckevardsystem-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.systemnamn",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.systemversion","registrerasamtyckevardsystem-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.systemversion",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.systemIp","registrerasamtyckevardsystem-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.systemIp",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation","registrerasamtyckevardsystem-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Information om anropande system.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.id","registrerasamtyckevardsystem-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.extension","registrerasamtyckevardsystem-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.modifierExtension","registrerasamtyckevardsystem-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.anvandare","registrerasamtyckevardsystem-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.klientinformation.anvandare",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.session","registrerasamtyckevardsystem-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.klientinformation.session",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.klientinformation.system","registrerasamtyckevardsystem-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.klientinformation.system",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.samtyckesgivare","registrerasamtyckevardsystem-request.samtyckesgivare","","","",1,1,"","","","string {[]} {[]}
","samtyckesgivare","Giltigt personnummer för patient vars samtycke ska registreras. Valideras mot FOLK.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.samtyckesgivare",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.samtyckestagareForskrivarkod","registrerasamtyckevardsystem-request.samtyckestagareForskrivarkod","","","",1,1,"","","","string {[]} {[]}
","samtyckestagareForskrivarkod","Förskrivarkod för förskrivare som skall få samtycke. Förskrivarens personnummer hämtas från FORS och sparas i LF Samtyckesregister. Förskrivarkoden sparas EJ.","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.samtyckestagareForskrivarkod",1,1,"",""
