"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.modifierExtension","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.employeeId","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.employeeId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för anställd","HSA-id för anställd","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.employeeId",1,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentId","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentId","","","",0,1,"","","","string {[]} {[]}
","HSA-id för medarbetaruppdrag","HSA-id för medarbetaruppdrag","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentId",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentName","canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentName","","","",0,1,"","","","string {[]} {[]}
","Namn på medarbetaruppdrag","Namn på medarbetaruppdrag","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.requestedBy.assignmentName",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registrationDate","canceltemporaryextendedrevoke-request.cancellationInfo.registrationDate","","","",1,1,"","","","dateTime {[]} {[]}
","Datum när återkallningen registrerades","Datum när återkallningen registrerades","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.registrationDate",1,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy","","","",1,1,"","","","BackboneElement {[]} {[]}
","Aktören som registrerade återkallningen","Aktören som registrerade återkallningen","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.id","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.extension","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.modifierExtension","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.employeeId","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.employeeId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för anställd","HSA-id för anställd","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.employeeId",1,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentId","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentId","","","",0,1,"","","","string {[]} {[]}
","HSA-id för medarbetaruppdrag","HSA-id för medarbetaruppdrag","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentId",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentName","canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentName","","","",0,1,"","","","string {[]} {[]}
","Namn på medarbetaruppdrag","Namn på medarbetaruppdrag","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.registeredBy.assignmentName",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancellationInfo.reasonText","canceltemporaryextendedrevoke-request.cancellationInfo.reasonText","","","",0,1,"","","","string {[]} {[]}
","Orsak till återkallningen (fritext)","Orsak till återkallningen (fritext)","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancellationInfo.reasonText",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.cancelReasonText","canceltemporaryextendedrevoke-request.cancelReasonText","","","",0,1,"","","","string {[]} {[]}
","Kompletterande text för orsak till makuleringen","Kompletterande text för orsak till makuleringen","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.cancelReasonText",0,1,"",""
"canceltemporaryextendedrevoke-request","canceltemporaryextendedrevoke-request.replicationTimeout","canceltemporaryextendedrevoke-request.replicationTimeout","","","",1,1,"","","","integer {[]} {[]}
","Anger hur replikering till nationell spärrtjänst ska ske (millisekunder). -1 = anropet väntar på replikering (misslyckas vid timeout). 0 = anropet avslutas direkt, replikering sker asynkront. >0 = anropet väntar angiven tid innan det avslutas; ej klar replikering fortsätter asynkront.","Anger hur replikering till nationell spärrtjänst ska ske (millisekunder). -1 = anropet väntar på replikering (misslyckas vid timeout). 0 = anropet avslutas direkt, replikering sker asynkront. >0 = anropet väntar angiven tid innan det avslutas; ej klar replikering fortsätter asynkront.","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke-request.replicationTimeout",1,1,"",""
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke","canceltemporaryextendedrevoke","","","",0,*,"","","","null {[]} {[]}
","CancelTemporaryExtendedRevoke","Logisk modell för tjänstekontraktet CancelTemporaryExtendedRevoke
(RIV-TA urn:riv:ehr:blocking:administration:CancelTemporaryExtendedRevokeResponder:2).
Återkallar en tillfällig hävning i den lokala spärrtjänsten, om den tillfälliga
hävningen finns. Denna återkallning kan inte återtas. Tjänsten avregistrerar
även den tillfälliga hävningen på nationell nivå.
Representerar responsens informationsstruktur.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result","canceltemporaryextendedrevoke.result","","","",1,1,"","","","BackboneElement {[]} {[]}
","Resultat av återkallningen","Resultat av återkallningen","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke.result",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result.id","canceltemporaryextendedrevoke.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result.extension","canceltemporaryextendedrevoke.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result.modifierExtension","canceltemporaryextendedrevoke.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result.resultCode","canceltemporaryextendedrevoke.result.resultCode","","","",1,1,"","","","code {[]} {[]}
","Svarskod","Svarskod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-blocking/ValueSet/resultcode-vs","",,,,"canceltemporaryextendedrevoke.result.resultCode",1,1,"",""
"canceltemporaryextendedrevoke","canceltemporaryextendedrevoke.result.resultText","canceltemporaryextendedrevoke.result.resultText","","","",0,1,"","","","string {[]} {[]}
","Beskrivande text till svarskoden","Beskrivande text till svarskoden","","","","","","","","","",,,,,"",,,,"canceltemporaryextendedrevoke.result.resultText",0,1,"",""
"checkblocks-request","checkblocks-request","checkblocks-request","","","",0,*,"","","","null {[]} {[]}
","CheckBlocks — Request","Logisk modell för requestparametrar i CheckBlocks v3.0.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"checkblocks-request","checkblocks-request.accessingActor","checkblocks-request.accessingActor","","","",1,1,"","","","BackboneElement {[]} {[]}
","Aktören (personal/vårdenhet) som begär åtkomst","Aktören (personal/vårdenhet) som begär åtkomst","","","","","","","","","",,,,,"",,,,"checkblocks-request.accessingActor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"checkblocks-request","checkblocks-request.accessingActor.id","checkblocks-request.accessingActor.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"checkblocks-request","checkblocks-request.accessingActor.extension","checkblocks-request.accessingActor.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks-request","checkblocks-request.accessingActor.modifierExtension","checkblocks-request.accessingActor.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks-request","checkblocks-request.accessingActor.employeeId","checkblocks-request.accessingActor.employeeId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för den anställde som begär åtkomst","HSA-id för den anställde som begär åtkomst","","","","","","","","","",,,,,"",,,,"checkblocks-request.accessingActor.employeeId",1,1,"",""
"checkblocks-request","checkblocks-request.accessingActor.careProviderId","checkblocks-request.accessingActor.careProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för aktörens vårdgivare","HSA-id för aktörens vårdgivare","","","","","","","","","",,,,,"",,,,"checkblocks-request.accessingActor.careProviderId",1,1,"",""
"checkblocks-request","checkblocks-request.accessingActor.careUnitId","checkblocks-request.accessingActor.careUnitId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för aktörens vårdenhet","HSA-id för aktörens vårdenhet","","","","","","","","","",,,,,"",,,,"checkblocks-request.accessingActor.careUnitId",1,1,"",""
"checkblocks-request","checkblocks-request.informationEntities","checkblocks-request.informationEntities","","","",1,*,"","","","BackboneElement {[]} {[]}
","Lista med informationsresurser vars spärrning skall kontrolleras","Lista med informationsresurser vars spärrning skall kontrolleras","","","","","","","","","",,,,,"",,,,"checkblocks-request.informationEntities",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"checkblocks-request","checkblocks-request.informationEntities.id","checkblocks-request.informationEntities.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"checkblocks-request","checkblocks-request.informationEntities.extension","checkblocks-request.informationEntities.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks-request","checkblocks-request.informationEntities.modifierExtension","checkblocks-request.informationEntities.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks-request","checkblocks-request.informationEntities.informationCareProviderId","checkblocks-request.informationEntities.informationCareProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdgivaren vars information kontrolleras","HSA-id för vårdgivaren vars information kontrolleras","","","","","","","","","",,,,,"",,,,"checkblocks-request.informationEntities.informationCareProviderId",1,1,"",""
"checkblocks-request","checkblocks-request.informationEntities.informationCareUnitId","checkblocks-request.informationEntities.informationCareUnitId","","","",0,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet (krävs vid inre spärr)","HSA-id för vårdenhet (krävs vid inre spärr)","","","","","","","","","",,,,,"",,,,"checkblocks-request.informationEntities.informationCareUnitId",0,1,"",""
"checkblocks-request","checkblocks-request.informationEntities.informationType","checkblocks-request.informationEntities.informationType","","","",0,1,"","","","string {[]} {[]}
","Informationstyp att kontrollera (lämna tomt för alla typer)","Informationstyp att kontrollera (lämna tomt för alla typer)","","","","","","","","","",,,,,"",,,,"checkblocks-request.informationEntities.informationType",0,1,"",""
"checkblocks-request","checkblocks-request.patientId","checkblocks-request.patientId","","","",1,1,"","","","string {[]} {[]}
","Patientens personnummer eller samordningsnummer","Patientens personnummer eller samordningsnummer","","","","","","","","","",,,,,"",,,,"checkblocks-request.patientId",1,1,"",""
